id	filename	md5	size	state
0a0f5d46-d97c-42ff-8462-670da1db174f	0a0f5d46-d97c-42ff-8462-670da1db174f/817e71c4-c5cc-433d-b5be-dbc5d751e390.wxs.aliquot_ensemble_masked.maf.gz	c5b2548b88f6745eb554f3cea13e0db5	40669	validated
0a51e8ee-f66d-4ec5-923c-dc7e198d626d	0a51e8ee-f66d-4ec5-923c-dc7e198d626d/3be16eb0-d44c-4b46-a3c8-cec6234d5e9b.wxs.aliquot_ensemble_masked.maf.gz	9a97c96e66c32a5b454276f1dbc98cdf	144627	validated
0ab10c7f-1519-4723-8fc5-80d957523b68	0ab10c7f-1519-4723-8fc5-80d957523b68/cd52313b-0931-4f8f-be48-5aa8f5c559d5.wxs.aliquot_ensemble_masked.maf.gz	13f3c982ce5fb40e0aedd27556468184	155466	validated
0c2ca690-1ae8-4eb1-8f0e-237bed5caaf7	0c2ca690-1ae8-4eb1-8f0e-237bed5caaf7/75f41504-697f-457a-b4ed-9ce0bf087047.wxs.aliquot_ensemble_masked.maf.gz	f91571e440b3f224e90655a65630db15	87880	validated
0cc3faad-3e09-46d6-813e-8e95e49274ab	0cc3faad-3e09-46d6-813e-8e95e49274ab/d6ff6696-a6db-48e7-8bed-000e7e31bb4e.wxs.aliquot_ensemble_masked.maf.gz	7bc6a8cc3130f33b5f6d2dabcfb9f5b9	245502	validated
0e15671e-e045-4eac-aff1-6f36e2a8ef50	0e15671e-e045-4eac-aff1-6f36e2a8ef50/1bdef6f0-9a41-466c-9df7-7e2f7e4d9113.wxs.aliquot_ensemble_masked.maf.gz	b85785633d9ab32c66ad3b412dc4467c	74050	validated
0eb522b1-b11f-4c43-9882-ce44c26e50bc	0eb522b1-b11f-4c43-9882-ce44c26e50bc/c4dd24e2-973b-467c-a436-95a020ae6784.wxs.aliquot_ensemble_masked.maf.gz	f70fe87776278006efeebdf6cce86df3	24920	validated
0eda0ddf-bfc1-4888-ab39-f3159750d0f2	0eda0ddf-bfc1-4888-ab39-f3159750d0f2/f4dd632c-7614-44fe-a160-a54c4218a737.wxs.aliquot_ensemble_masked.maf.gz	3c727d83928c8791fcea668885d4b64e	18709	validated
0ff7c720-f5ed-45ba-9f16-aefa22afde16	0ff7c720-f5ed-45ba-9f16-aefa22afde16/f345f40c-4f5d-4590-b407-a2d769385935.wxs.aliquot_ensemble_masked.maf.gz	394e610895b9ee89a92a798c10c709e9	55145	validated
105674ba-2bd9-4825-a54a-3f6d7035e7c6	105674ba-2bd9-4825-a54a-3f6d7035e7c6/0989c6be-83f3-4273-8ffe-4c112dc63980.wxs.aliquot_ensemble_masked.maf.gz	9c559b59ff7d8c03adda9643cd72b40b	8853	validated
10a28556-ee55-4b1c-8a22-09f2635a0265	10a28556-ee55-4b1c-8a22-09f2635a0265/4f79e0cb-763b-4ca8-a109-599e543f9f36.wxs.aliquot_ensemble_masked.maf.gz	11df2f2256c409bc5e40b57f4c42a6bc	42161	validated
10bbda4b-301b-467a-98a1-5dcf4f1529da	10bbda4b-301b-467a-98a1-5dcf4f1529da/55a6de5b-3fa8-4e7b-b6d6-0169e470992e.wxs.aliquot_ensemble_masked.maf.gz	4d76169cc0f05c1176492f28bb5428b9	81863	validated
112c0e19-6f1a-4481-a4fa-dadb58cced74	112c0e19-6f1a-4481-a4fa-dadb58cced74/0024999f-e291-4d3d-945b-3e71779ab6e7.wxs.aliquot_ensemble_masked.maf.gz	a8d5a2c7e1de8432f5a88b69de947bc2	59239	validated
11b5f4c1-1af7-40d0-8a07-11c95f82f6b4	11b5f4c1-1af7-40d0-8a07-11c95f82f6b4/508f2b1a-9ab2-49e8-9e06-3825343285e7.wxs.aliquot_ensemble_masked.maf.gz	e5c52a7b3619ae39f1346f09754d02e6	51829	validated
128f9f6f-7e1b-4b8f-9727-adb1577e4d34	128f9f6f-7e1b-4b8f-9727-adb1577e4d34/a5343ada-2f1a-43a8-b7b0-8ea6cd6de50a.wxs.aliquot_ensemble_masked.maf.gz	36224baa5329379d57d14686b2087212	393747	validated
12c6b330-5356-43e3-9693-a2bf979900cf	12c6b330-5356-43e3-9693-a2bf979900cf/4ab1dcf8-8905-476a-9356-5658d59f890a.wxs.aliquot_ensemble_masked.maf.gz	fd8dc8e7a0536d33898fecf98f4a88b2	43646	validated
139160f5-5b99-4f3b-afd5-08ee61da1365	139160f5-5b99-4f3b-afd5-08ee61da1365/764abb5a-34ed-4f23-ab0a-a4abc056e8f6.wxs.aliquot_ensemble_masked.maf.gz	89d86ab53aa903bcfa9f1f5756f98e90	37412	validated
13f54a95-9b05-4e3e-8b1d-c9c1079fd7e3	13f54a95-9b05-4e3e-8b1d-c9c1079fd7e3/4985d3fb-85eb-4f05-b6ee-3bb14cd42e64.wxs.aliquot_ensemble_masked.maf.gz	9d9077fcf1c46464b32b3406e65fc00b	159726	validated
14776aaa-3687-4117-8f3a-7409185fac77	14776aaa-3687-4117-8f3a-7409185fac77/51871faf-5e85-4298-92ed-5b1f16c347f8.wxs.aliquot_ensemble_masked.maf.gz	9d8cf81bb2e4f0d473f3e849ff58a9bb	171341	validated
1557f2f2-c878-4f18-9a74-7a8dc9e948c6	1557f2f2-c878-4f18-9a74-7a8dc9e948c6/7e8bae8d-1297-487d-8d47-235a63ff2bec.wxs.aliquot_ensemble_masked.maf.gz	1bb7f8997dd6e5df4b3d709845e18bad	140710	validated
